model,ESS,burnin_runtime,sample_runtime,N,D,Q,total_iter,burnin_iter,percent_zero,lambda_MSE,percent_outside_95CI,random_seed
stan_uncollapsed,2000,6.03,4.41,100,3,5,4000,2000,0,0.00397161570853968,0.1,1
stan_uncollapsed,2000,4.95,1.83,100,3,5,4000,2000,0.01,0.00501556935290725,0,2
stan_uncollapsed,2000,11.91,9.14,100,3,5,4000,2000,0,0.00582047346452979,0,3
stan_uncollapsed,2000,8.6,5.43,100,5,5,4000,2000,0.008,0.00234989553414212,0,1
stan_uncollapsed,1959.51504389832,8.04,5.24,100,5,5,4000,2000,0.022,0.00574066771684145,0.05,2
stan_uncollapsed,2000,14.03,12.5,100,5,5,4000,2000,0.02,0.00228160884156434,0,3
stan_uncollapsed,1294.72426472507,38.13,49.11,100,10,5,4000,2000,0.023,0.00419512865048762,0,1
stan_uncollapsed,1947.63199215635,30.71,26.71,100,10,5,4000,2000,0.031,0.00347621403866423,0,2
stan_uncollapsed,2000,40.7,39.46,100,10,5,4000,2000,0.026,0.0039507665906905,0,3
stan_uncollapsed,418.743808524923,356.36,162.75,100,25,5,4000,2000,0.1296,0.00879232697730624,0.075,1
stan_uncollapsed,607.784491215922,303.57,156.44,100,25,5,4000,2000,0.094,0.00584179652906602,0.0416666666666667,2
stan_uncollapsed,631.054412552278,298.15,235.99,100,25,5,4000,2000,0.1116,0.00619706716899225,0.05,3
stan_uncollapsed,115.529443432399,2801.58,1685.03,100,50,5,4000,2000,0.1444,0.00834062453416319,0.0653061224489796,1
stan_uncollapsed,136.147072622922,2400.23,1559.96,100,50,5,4000,2000,0.1314,0.00668298655441413,0.0489795918367347,2
stan_uncollapsed,60.0206690428621,3352.8,2221.55,100,50,5,4000,2000,0.133,0.00749760149753668,0.036734693877551,3
stan_uncollapsed,109.804369667431,16765.2,21260.7,100,75,5,4000,2000,0.2012,0.00993874579964908,0.0243243243243243,1
stan_uncollapsed,83.5081263041566,15700,18293.2,100,75,5,4000,2000,0.189333333333333,0.00916307999403118,0.0513513513513514,2
stan_uncollapsed,74.9305821858209,14081.2,9039.75,100,75,5,4000,2000,0.1644,0.0112240519681875,0.110810810810811,3
stan_uncollapsed,17.917274329048,48297.5,49217.6,100,100,5,4000,2000,0.2258,0.0136016143985175,0.0282828282828283,1
stan_uncollapsed,21.6903491400719,41769,45539.9,100,100,5,4000,2000,0.2108,0.0120410775839708,0.0202020202020202,2
stan_uncollapsed,23.9458124332801,40277.8,40467.2,100,100,5,4000,2000,0.19,0.0134352293109671,0.109090909090909,3
stan_collapsed,1942.05056156026,51.77,37.8,100,3,5,4000,2000,0,0.00395965358726549,0.1,1
stan_collapsed,1980.41368398342,64.91,23.36,100,3,5,4000,2000,0.01,0.00501173048246009,0,2
stan_collapsed,1976.5317062926,111.24,83.93,100,3,5,4000,2000,0,0.00573526614297756,0,3
stan_collapsed,1940.21125124398,70.59,45,100,5,5,4000,2000,0.008,0.00232953076095887,0,1
stan_collapsed,1980.23787254455,60.51,46.33,100,5,5,4000,2000,0.022,0.00574707751412437,0.05,2
stan_collapsed,1991.50498101829,140.28,108.24,100,5,5,4000,2000,0.02,0.00228808914070636,0,3
stan_collapsed,1549.26584637037,154.41,190.48,100,10,5,4000,2000,0.023,0.00415229764825125,0,1
stan_collapsed,1947.56471156246,122.37,119.36,100,10,5,4000,2000,0.031,0.00349380628190329,0,2
stan_collapsed,1913.52794061396,151.74,161.28,100,10,5,4000,2000,0.026,0.00385101493589085,0.0222222222222222,3
stan_collapsed,469.81116730971,266.82,228.07,100,25,5,4000,2000,0.1296,0.0085805546902068,0.0833333333333333,1
stan_collapsed,486.214730957934,196.2,111.41,100,25,5,4000,2000,0.094,0.00578950238017527,0.075,2
stan_collapsed,268.591686650605,257.57,204.39,100,25,5,4000,2000,0.1116,0.00587341681771791,0.0333333333333333,3
stan_collapsed,184.166755577847,506.65,635.58,100,50,5,4000,2000,0.1444,0.00865890505509824,0.0857142857142857,1
stan_collapsed,123.882102567295,540.75,419.06,100,50,5,4000,2000,0.1314,0.00669260762833201,0.073469387755102,2
